count_point_id,year,region_id,region_name,region_ons_code,local_authority_id,local_authority_name,local_authority_code,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
50973,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A746,PA,Major,C-road south of Glasserton,B7004,243000,539000,54.72141823,-4.43916603,2.5,1.55,Estimated,Estimated using previous year's AADF on this link,E,0,1,201,2,59,5,1,2,0,1,0,9,272
50973,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A746,PA,Major,C-road south of Glasserton,B7004,243000,539000,54.72141823,-4.43916603,2.5,1.55,Estimated,Estimated using previous year's AADF on this link,W,0,3,183,6,52,7,1,0,0,1,0,9,253
20888,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7041 Mill Street,B7065,212570,540700,54.72625613,-4.91210602,7.8,4.85,Estimated,Estimated using previous year's AADF on this link,N,0,1,317,8,83,22,3,3,1,0,1,30,440
20888,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7041 Mill Street,B7065,212570,540700,54.72625613,-4.91210602,7.8,4.85,Estimated,Estimated using previous year's AADF on this link,S,0,1,320,10,83,19,3,3,0,0,3,28,441
30909,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A747,PA,Major,B7085 Main Street,"C-road to B7004, SE of Glasserton",235000,541100,54.73770963,-4.56443341,11.9,7.39,Estimated,Estimated using previous year's AADF on this link,E,0,0,243,11,69,13,3,0,13,1,0,30,353
30909,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A747,PA,Major,B7085 Main Street,"C-road to B7004, SE of Glasserton",235000,541100,54.73770963,-4.56443341,11.9,7.39,Estimated,Estimated using previous year's AADF on this link,W,1,0,239,6,79,17,1,2,18,1,2,41,365
20906,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A746,PA,Major,B7004,B7052 Main Street,243371,543000,54.75744763,-4.43556656,7.6,4.72,Estimated,Estimated using previous year's AADF on this link,N,0,5,389,14,120,38,0,3,0,3,1,46,575
20906,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A746,PA,Major,B7004,B7052 Main Street,243371,543000,54.75744763,-4.43556656,7.6,4.72,Estimated,Estimated using previous year's AADF on this link,S,0,5,399,16,99,43,10,7,0,0,4,63,582
50994,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7065,B7084,210900,546500,54.77768403,-4.94177622,8.8,5.47,Estimated,Estimated using previous year's AADF on this link,N,1,5,523,9,148,25,1,9,2,2,0,39,725
50994,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A716,PA,Major,B7065,B7084,210900,546500,54.77768403,-4.94177622,8.8,5.47,Estimated,Estimated using previous year's AADF on this link,S,0,5,441,11,137,22,5,6,3,0,1,37,631
10908,2018,3,Scotland,S92000003,38,Dumfries & Galloway,S12000006,A747,PA,Major,B7005,B7085 Main Street,231800,546200,54.7824322,-4.61703548,9.7,6.03,Estimated,Estimated using previous year's AADF on this link,E,0,5,339,7,126,31,12,10,4,4,6,67,544
